role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,dmm_pre_read_count,dmm_post_read_count,discard_read_attempt_count,formal_read_retry_count,t_acq_first_attempt_start_unix
sentinel,down,60,27,0,54,3.4258330955080973,3.5563865717091963,0.5,1784364375.01971,1784364376.432545,0,True,1784364380.499305,1784364382.165301,1784364382.166344,1784364383.793549,1784364382.9825745,1.3496650137500001,1784364383.793729,1784364402.36866,1784364393.0838635,1784364402.369035,1784364404.004312,1784364403.1860318,1.34145374,0.4999782391769821,1.345559555559075,1.2,-0.213853875,-0.36593875,-0.00032700000000000003,0.002141125,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3152577,3286807,0,0,0,0,8,8,8,1,0,1784364383.793729
sentinel,up,60,27,1,55,3.4258330955080973,3.2952796193069984,0.5,1784364406.1413288,1784364407.566088,1,True,1784364411.633728,1784364413.302232,1784364413.303416,1784364414.934,1784364414.1207848,1.3427943575,1784364414.9342022,1784364433.5155132,1784364424.227151,1784364433.515734,1784364435.1432261,1784364434.3277826,1.3245284662499999,0.5001418925191423,1.3336588200816761,1.2,-0.21955037500000002,-0.37592887500000005,-0.000228375,0.0019965,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3225747,3301542,0,0,0,0,8,8,8,1,0,1784364414.9342022
formal,up,73,28,0,56,5.123028286122381,4.992474809921282,0.5,1784364451.4989681,1784364452.919327,2,True,1784364457.000614,1784364458.6616461,1784364458.662709,1784364460.286954,1784364459.4754894,0.561550466875,1784364460.287199,1784364478.850823,1784364469.5735464,1784364478.851041,1784364480.483001,1784364479.6659524,0.561047735875,0.5001399422376636,0.5612990310216989,0.5437665,-0.283363625,-0.48232825,0.0035705,-0.00470775,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4073977,4063052,0,0,0,0,8,8,8,1,0,1784364460.287199
formal,down,73,28,1,57,5.123028286122381,5.2535817623234795,0.5,1784364482.621475,1784364484.0435672,3,True,1784364488.11842,1784364489.7844632,1784364489.785563,1784364491.433248,1784364490.6051993,0.53808968925,1784364491.433523,1784364510.0854259,1784364500.7527742,1784364510.085671,1784364511.758604,1784364510.9207845,0.537419381375,0.49949705280171025,0.5377548724419677,0.519782125,-0.28012375,-0.47723312500000004,0.00360525,-0.0048191250000000005,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4052805,4049333,0,0,0,0,8,8,8,1,0,1784364491.433523
formal,down,7,29,0,58,-3.4935011431501337,-3.362947666949035,0.5,1784364604.501479,1784364605.94254,4,True,1784364610.0603478,1784364611.752587,1784364611.753671,1784364613.395134,1784364612.575327,0.013406248851249998,1784364613.395333,1784364632.076264,1784364622.73239,1784364632.076501,1784364633.721683,1784364632.8984656,0.023795942518750002,0.4997782650786844,0.018598791927092143,0.004293375,-0.034660625,-0.059371625000000004,0.002930375,-0.005129,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-687493,596962,0,0,0,0,8,8,8,1,0,1784364613.395333
formal,up,7,29,1,59,-3.4935011431501337,-3.6240546193512326,0.5,1784364635.877268,1784364637.318357,5,True,1784364641.436728,1784364643.118243,1784364643.118668,1784364644.772369,1784364643.9445856,0.01726048591625,1784364644.772641,1784364663.518144,1784364654.1381247,1784364663.518424,1784364665.151541,1784364664.3387203,0.02245535521375,0.49982699744880715,0.01985702183935842,0.009030875,-0.04766675,-0.081668625,0.00303975,-0.00526475,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-846875,770487,0,0,0,0,8,8,8,1,0,1784364644.772641
formal,up,34,30,0,60,0.031442714279531714,-0.0991107619215672,0.5,1784364703.193103,1784364704.6463842,6,True,1784364708.7756212,1784364710.467463,1784364710.4686038,1784364712.117582,1784364711.2885652,1.071989955,1784364712.117816,1784364730.78638,1784364721.4566736,1784364730.786627,1784364732.4341261,1784364731.6156898,1.06964387625,0.5002236501992654,1.07081639092402,1.045948,0.279628,0.47823787500000003,0.00036875,-0.00178175,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4098028,4070335,0,0,0,0,8,8,8,1,0,1784364712.117816
formal,down,34,30,1,61,0.031442714279531714,0.16199619048063063,0.5,1784364734.604823,1784364736.032966,7,True,1784364740.16034,1784364741.84257,1784364741.8436449,1784364743.475772,1784364742.6605468,1.08120668875,1784364743.475991,1784364762.1650271,1784364752.8188038,1784364762.165237,1784364763.832576,1784364763.0040698,1.07550907,0.499336176672028,1.0783616615872402,1.0535355,0.278366125,0.47683125,0.000367,-0.0016936249999999998,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-4096927,4050942,0,0,0,0,8,8,8,1,0,1784364743.475991
formal,down,46,31,0,62,1.5980844286927152,1.728637904893814,0.5,1784364781.818801,1784364783.255994,8,True,1784364787.38006,1784364789.059297,1784364789.060432,1784364790.7114692,1784364789.884644,1.56801782125,1784364790.711663,1784364809.407983,1784364800.059341,1784364809.408205,1784364811.0642052,1784364810.2391999,1.56801782125,0.49987319790479906,1.56801782125,1.2,0.08167037499999999,0.1403335,-0.002035875,0.00341775,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1436300,1554863,0,0,0,0,8,8,8,1,0,1784364790.711663
formal,up,46,31,1,63,1.5980844286927152,1.4675309524916162,0.5,1784364813.252206,1784364814.694771,9,True,1784364818.7896352,1784364820.467774,1784364820.468875,1784364822.1264791,1784364821.2991524,1.576229095,1784364822.126715,1784364840.802422,1784364831.464116,1784364840.804838,1784364842.444693,1784364841.6232333,1.5753912075,0.5001438318518023,1.5758100307350893,1.2,0.077166125,0.13280025,-0.00208275,0.0034862499999999998,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-1283608,1389553,0,0,0,0,8,8,8,1,0,1784364822.126715
