sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,0,0,0.0,-0.12965511293596924,-0.12965511293596924,1784278232.213212,1784278233.637728,1784278232.9254699,1.11153812,"[dac] CH_A set to -0.130 V (code=32343)
"
1,0,1,-0.12965511293596924,-0.25931022587193847,-0.12965511293596924,1784278233.638674,1784278235.087198,1784278234.362936,1.05121041,"[dac] CH_A set to -0.259 V (code=31918)
"
2,0,2,-0.25931022587193847,-0.38896533880790773,-0.12965511293596926,1784278235.087445,1784278236.516598,1784278235.8020215,1.05523226,"[dac] CH_A set to -0.389 V (code=31493)
"
3,0,3,-0.38896533880790773,-0.5186204517438769,-0.1296551129359692,1784278236.51681,1784278237.940396,1784278237.228603,0.941279908,"[dac] CH_A set to -0.519 V (code=31068)
"
4,0,4,-0.5186204517438769,-0.6482755646798462,-0.1296551129359692,1784278237.940618,1784278239.368191,1784278238.6544046,0.933236213,"[dac] CH_A set to -0.648 V (code=30643)
"
5,0,5,-0.6482755646798462,-0.7779306776158155,-0.12965511293596932,1784278239.368374,1784278240.8056488,1784278240.0870113,0.815262018,"[dac] CH_A set to -0.778 V (code=30219)
"
6,0,6,-0.7779306776158155,-0.9075857905517847,-0.1296551129359692,1784278240.805866,1784278242.2435598,1784278241.524713,0.808558939,"[dac] CH_A set to -0.908 V (code=29794)
"
7,0,7,-0.9075857905517847,-1.0372409034877539,-0.1296551129359692,1784278242.243806,1784278243.680715,1784278242.9622605,0.753593688,"[dac] CH_A set to -1.037 V (code=29369)
"
8,0,8,-1.0372409034877539,-1.1668960164237232,-0.12965511293596932,1784278243.6808891,1784278245.1231732,1784278244.4020312,0.64634442,"[dac] CH_A set to -1.167 V (code=28944)
"
9,0,9,-1.1668960164237232,-1.2965511293596923,-0.1296551129359691,1784278245.123347,1784278246.5740001,1784278245.8486736,0.655728731,"[dac] CH_A set to -1.297 V (code=28519)
"
10,0,10,-1.2965511293596923,-1.4262062422956616,-0.12965511293596932,1784278246.5742059,1784278248.018206,1784278247.296206,0.604785328,"[dac] CH_A set to -1.426 V (code=28094)
"
11,0,11,-1.4262062422956616,-1.555861355231631,-0.12965511293596932,1784278248.0183969,1784278249.454459,1784278248.7364278,0.49753606,"[dac] CH_A set to -1.556 V (code=27669)
"
12,0,12,-1.555861355231631,-1.6855164681676,-0.1296551129359691,1784278249.454659,1784278250.88733,1784278250.1709945,0.449273889,"[dac] CH_A set to -1.686 V (code=27245)
"
13,0,13,-1.6855164681676,-1.8151715811035694,-0.12965511293596932,1784278250.887567,1784278252.333757,1784278251.610662,0.401011718,"[dac] CH_A set to -1.815 V (code=26820)
"
14,0,14,-1.8151715811035694,-1.9448266940395385,-0.1296551129359691,1784278252.3339899,1784278253.766073,1784278253.0500314,0.376880633,"[dac] CH_A set to -1.945 V (code=26395)
"
