sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,0,0,0.0,-0.12965511293596924,-0.12965511293596924,1784345370.3370519,1784345371.764524,1784345371.050788,1.03914487,"[dac] CH_A set to -0.130 V (code=32343)
"
1,0,1,-0.12965511293596924,-0.25931022587193847,-0.12965511293596924,1784345371.7649438,1784345373.1970508,1784345372.4809973,0.962729762,"[dac] CH_A set to -0.259 V (code=31918)
"
2,0,2,-0.25931022587193847,-0.38896533880790773,-0.12965511293596926,1784345373.19728,1784345374.620877,1784345373.9090786,0.868886652,"[dac] CH_A set to -0.389 V (code=31493)
"
3,0,3,-0.38896533880790773,-0.5186204517438769,-0.1296551129359692,1784345374.621094,1784345376.049901,1784345375.3354974,0.824646329,"[dac] CH_A set to -0.519 V (code=31068)
"
4,0,4,-0.5186204517438769,-0.6482755646798462,-0.1296551129359692,1784345376.050096,1784345377.503819,1784345376.7769575,0.748231225,"[dac] CH_A set to -0.648 V (code=30643)
"
5,0,5,-0.6482755646798462,-0.7779306776158155,-0.12965511293596932,1784345377.504102,1784345378.94024,1784345378.2221708,0.675837969,"[dac] CH_A set to -0.778 V (code=30219)
"
6,0,6,-0.7779306776158155,-0.9075857905517847,-0.1296551129359692,1784345378.9404852,1784345380.380437,1784345379.660461,0.661091194,"[dac] CH_A set to -0.908 V (code=29794)
"
7,0,7,-0.9075857905517847,-1.0372409034877539,-0.1296551129359692,1784345380.380786,1784345381.818718,1784345381.099752,0.580654243,"[dac] CH_A set to -1.037 V (code=29369)
"
8,0,8,-1.0372409034877539,-1.1668960164237232,-0.12965511293596932,1784345381.818929,1784345383.258521,1784345382.538725,0.53641392,"[dac] CH_A set to -1.167 V (code=28944)
"
9,0,9,-1.1668960164237232,-1.2965511293596923,-0.1296551129359691,1784345383.258753,1784345384.695467,1784345383.97711,0.437208346,"[dac] CH_A set to -1.297 V (code=28519)
"
10,0,10,-1.2965511293596923,-1.4262062422956616,-0.12965511293596932,1784345384.69571,1784345386.128126,1784345385.411918,0.382243096,"[dac] CH_A set to -1.426 V (code=28094)
"
