window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,0,0,sentinel,up,0,0,0,-4.407375476557824,1784361497.4348211,1784361499.758966,1784361498.5968935,0.242826,-0.214664,-0.366479,0.003918,-0.005792,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3181201,3037995,0,0,0,0,1,1,1784361497.4348211
1,0,1,sentinel,up,0,0,0,-4.407375476557824,1784361499.759223,1784361502.088023,1784361500.923623,0.244919,-0.215272,-0.367608,0.003868,-0.005764,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3120226,3061453,0,0,0,0,1,1,1784361499.759223
2,0,2,sentinel,up,0,0,0,-4.407375476557824,1784361502.088584,1784361504.402508,1784361503.2455459,0.247262,-0.216233,-0.369405,0.003924,-0.005813,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3157827,3075088,0,0,0,0,1,1,1784361502.088584
3,0,3,sentinel,up,0,0,0,-4.407375476557824,1784361504.4027689,1784361506.721934,1784361505.5623515,0.249143,-0.216788,-0.370352,0.003886,-0.005785,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3177390,3092110,0,0,0,0,1,1,1784361504.4027689
4,0,4,sentinel,up,0,0,0,-4.407375476557824,1784361506.722166,1784361509.047422,1784361507.884794,0.251046,-0.21749,-0.371527,0.003896,-0.005782,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3165788,3082625,0,0,0,0,1,1,1784361506.722166
5,0,5,sentinel,up,0,0,0,-4.407375476557824,1784361509.047654,1784361511.3694541,1784361510.208554,0.252942,-0.218123,-0.372704,0.003923,-0.005778,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3192973,3103035,0,0,0,0,1,1,1784361509.047654
6,0,6,sentinel,up,0,0,0,-4.407375476557824,1784361511.370058,1784361513.689327,1784361512.5296926,0.254704,-0.21872,-0.373855,0.003907,-0.005734,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3220750,3097022,0,0,0,0,1,1,1784361511.370058
7,0,7,sentinel,up,0,0,0,-4.407375476557824,1784361513.689573,1784361516.0145228,1784361514.852048,0.256181,-0.219194,-0.374691,0.003891,-0.005736,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3218125,3108709,0,0,0,0,1,1,1784361513.689573
8,1,0,sentinel,down,0,0,1,-4.407375476557824,1784361528.594406,1784361530.916092,1784361529.755249,0.265731,-0.222332,-0.380113,0.003907,-0.005772,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3253440,3186283,0,0,0,0,1,1,1784361528.594406
9,1,1,sentinel,down,0,0,1,-4.407375476557824,1784361530.916317,1784361533.236041,1784361532.076179,0.267369,-0.222957,-0.381207,0.003868,-0.005754,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3235909,3178068,0,0,0,0,1,1,1784361530.916317
