sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
0,0,0,0.0,-0.12965511293596924,-0.12965511293596924,1784361440.2774022,1784361441.702801,1784361440.9901016,0.945301756,"[dac] CH_A set to -0.130 V (code=32343)
"
1,0,1,-0.12965511293596924,-0.25931022587193847,-0.12965511293596924,1784361441.703053,1784361443.13357,1784361442.4183116,0.926533134,"[dac] CH_A set to -0.259 V (code=31918)
"
2,0,2,-0.25931022587193847,-0.38896533880790773,-0.12965511293596926,1784361443.133756,1784361444.5532851,1784361443.8435206,0.832690024,"[dac] CH_A set to -0.389 V (code=31493)
"
3,0,3,-0.38896533880790773,-0.5186204517438769,-0.1296551129359692,1784361444.553525,1784361445.969434,1784361445.2614794,0.805877707,"[dac] CH_A set to -0.519 V (code=31068)
"
4,0,4,-0.5186204517438769,-0.6482755646798462,-0.1296551129359692,1784361445.96975,1784361447.396415,1784361446.6830826,0.741528146,"[dac] CH_A set to -0.648 V (code=30643)
"
5,0,5,-0.6482755646798462,-0.7779306776158155,-0.12965511293596932,1784361447.396632,1784361448.81794,1784361448.107286,0.643663188,"[dac] CH_A set to -0.778 V (code=30219)
"
6,0,6,-0.7779306776158155,-0.9075857905517847,-0.1296551129359692,1784361448.8181372,1784361450.234306,1784361449.5262218,0.577973011,"[dac] CH_A set to -0.908 V (code=29794)
"
7,0,7,-0.9075857905517847,-1.0372409034877539,-0.1296551129359692,1784361450.2344902,1784361451.652826,1784361450.943658,0.540435767,"[dac] CH_A set to -1.037 V (code=29369)
"
8,0,8,-1.0372409034877539,-1.1668960164237232,-0.12965511293596932,1784361451.653109,1784361453.076183,1784361452.364646,0.486811133,"[dac] CH_A set to -1.167 V (code=28944)
"
9,0,9,-1.1668960164237232,-1.2965511293596923,-0.1296551129359691,1784361453.076384,1784361454.499375,1784361453.7878795,0.439889578,"[dac] CH_A set to -1.297 V (code=28519)
"
10,0,10,-1.2965511293596923,-1.4262062422956616,-0.12965511293596932,1784361454.499548,1784361455.929821,1784361455.2146845,0.386264944,"[dac] CH_A set to -1.426 V (code=28094)
"
11,0,11,-1.4262062422956616,-1.555861355231631,-0.12965511293596932,1784361455.930033,1784361457.354401,1784361456.6422172,0.315212303,"[dac] CH_A set to -1.556 V (code=27669)
"
12,0,12,-1.555861355231631,-1.6855164681676,-0.1296551129359691,1784361457.354636,1784361458.778091,1784361458.0663633,0.276334443,"[dac] CH_A set to -1.686 V (code=27245)
"
13,0,13,-1.6855164681676,-1.8151715811035694,-0.12965511293596932,1784361458.778284,1784361460.1984892,1784361459.4883866,0.241478431,"[dac] CH_A set to -1.815 V (code=26820)
"
14,0,14,-1.8151715811035694,-1.9448266940395385,-0.1296551129359691,1784361460.1986701,1784361461.620307,1784361460.9094887,0.203941187,"[dac] CH_A set to -1.945 V (code=26395)
"
15,0,15,-1.9448266940395385,-2.0744818069755078,-0.12965511293596932,1784361461.620497,1784361463.042938,1784361462.3317175,0.167744559,"[dac] CH_A set to -2.075 V (code=25970)
"
16,0,16,-2.0744818069755078,-2.204136919911477,-0.1296551129359691,1784361463.0431108,1784361464.467341,1784361463.755226,0.118141772,"[dac] CH_A set to -2.204 V (code=25545)
"
17,0,17,-2.204136919911477,-2.3337920328474464,-0.12965511293596954,1784361464.467523,1784361465.8785632,1784361465.1730433,0.0966919187,"[dac] CH_A set to -2.334 V (code=25120)
"
18,0,18,-2.3337920328474464,-2.4634471457834155,-0.1296551129359691,1784361465.8789608,1784361467.29909,1784361466.5890255,0.0926700711,"[dac] CH_A set to -2.463 V (code=24696)
"
19,0,19,-2.4634471457834155,-2.5931022587193846,-0.1296551129359691,1784361467.299314,1784361468.7191732,1784361468.0092435,0.0537922112,"[dac] CH_A set to -2.593 V (code=24271)
"
20,0,20,-2.5931022587193846,-2.722757371655354,-0.12965511293596954,1784361468.719417,1784361470.145361,1784361469.432389,0.0108925038,"[dac] CH_A set to -2.723 V (code=23846)
"
21,0,21,-2.722757371655354,-2.8524124845913232,-0.1296551129359691,1784361470.145529,1784361471.569242,1784361470.8573856,0.0149143514,"[dac] CH_A set to -2.852 V (code=23421)
"
22,0,22,-2.8524124845913232,-2.9820675975272923,-0.1296551129359691,1784361471.569549,1784361472.994213,1784361472.281881,0.0242986624,"[dac] CH_A set to -2.982 V (code=22996)
"
