window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,read_attempt_count,t_first_attempt_start_unix
0,0,0,sentinel,up,0,0,0,-4.407375476557824,1784371614.16134,1784371616.506654,1784371615.333997,0.216823,-0.117154,-0.200466,0.002091,-0.003019,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1762347,1706114,0,0,0,0,1,1,1784371614.16134
1,0,1,sentinel,up,0,0,0,-4.407375476557824,1784371616.506903,1784371618.836595,1784371617.671749,0.219036,-0.117657,-0.201401,0.002103,-0.002999,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1761585,1713821,0,0,0,0,1,1,1784371616.506903
2,0,2,sentinel,up,0,0,0,-4.407375476557824,1784371618.836929,1784371621.185302,1784371620.0111156,0.220975,-0.118034,-0.202119,0.002098,-0.003062,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1779115,1715176,0,0,0,0,1,1,1784371618.836929
3,0,3,sentinel,up,0,0,0,-4.407375476557824,1784371621.1855118,1784371623.520233,1784371622.3528724,0.22284,-0.118452,-0.202846,0.002091,-0.003075,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1777760,1720765,0,0,0,0,1,1,1784371621.1855118
4,0,4,sentinel,up,0,0,0,-4.407375476557824,1784371623.520561,1784371625.855027,1784371624.687794,0.224707,-0.118818,-0.203534,0.002106,-0.003028,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1786313,1750321,0,0,0,0,1,1,1784371623.520561
5,0,5,sentinel,up,0,0,0,-4.407375476557824,1784371625.8553479,1784371628.186698,1784371627.0210228,0.226205,-0.119115,-0.204006,0.002114,-0.003023,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1790209,1744308,0,0,0,0,1,1,1784371625.8553479
6,0,6,sentinel,up,0,0,0,-4.407375476557824,1784371628.18693,1784371630.511654,1784371629.3492918,0.228009,-0.119548,-0.204791,0.002126,-0.003046,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1773102,1741260,0,0,0,0,1,1,1784371628.18693
7,0,7,sentinel,up,0,0,0,-4.407375476557824,1784371630.511882,1784371632.855419,1784371631.6836505,0.229574,-0.119902,-0.205359,0.002117,-0.003066,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1810788,1743800,0,0,0,0,1,1,1784371630.511882
8,0,8,sentinel,up,0,0,0,-4.407375476557824,1784371632.85571,1784371635.2032351,1784371634.0294726,0.23105,-0.120214,-0.205891,0.002108,-0.003071,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1784704,1747527,0,0,0,0,1,1,1784371632.85571
9,0,9,sentinel,up,0,0,0,-4.407375476557824,1784371635.203488,1784371637.549153,1784371636.3763206,0.232603,-0.120485,-0.206461,0.002085,-0.003063,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1818495,1757012,0,0,0,0,1,1,1784371635.203488
10,0,10,sentinel,up,0,0,0,-4.407375476557824,1784371637.549367,1784371639.889525,1784371638.719446,0.234053,-0.120803,-0.207023,0.002123,-0.003061,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1823915,1785382,0,0,0,0,1,1,1784371637.549367
11,0,11,sentinel,up,0,0,0,-4.407375476557824,1784371639.8897438,1784371642.22342,1784371641.056582,0.235512,-0.121052,-0.207481,0.002093,-0.003068,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1835009,1777760,0,0,0,0,1,1,1784371639.8897438
