role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,dmm_pre_read_count,dmm_post_read_count,discard_read_attempt_count,formal_read_retry_count,t_acq_first_attempt_start_unix
sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,0.5,1784371605.234011,1784371606.6701272,0,True,1784371610.8047428,1784371612.494824,1784371612.495082,1784371614.161108,1784371613.329235,0.2274019645,1784371614.16134,1784371651.559927,1784371632.8668575,1784371651.560181,1784371653.2330282,1784371652.398221,0.250695165125,0.5000801014460465,0.23905043063155312,0.22985268749999999,-0.1199180625,-0.2054206875,0.0021064375,-0.003052125,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1837549,1791225,0,0,0,0,16,8,8,1,0,1784371614.16134
sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,0.5,1784371655.3957682,1784371656.8282251,1,True,1784371660.971838,1784371662.657156,1784371662.657392,1784371664.285908,1784371663.4740496,0.26074978400000004,1784371664.286436,1784371701.676654,1784371682.9899316,1784371701.676904,1784371703.3276339,1784371702.5031748,0.27750748225,0.5000338057389072,0.2691291996313717,0.256749,-0.12534524999999996,-0.21492,0.0021443125,-0.0030961875,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1895899,1841191,0,0,0,0,16,8,8,1,0,1784371664.286436
sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,0.5,1784371819.0582871,1784371820.500057,2,True,1784371824.636051,1784371826.3097181,1784371826.30996,1784371827.9636328,1784371827.1370664,0.26879347925,1784371827.963812,1784371865.3473768,1784371846.6502507,1784371865.3476071,1784371867.006539,1784371866.1751213,0.22321254012500003,0.4998503213711559,0.2460098321799697,0.2330741875,-0.12263531250000001,-0.209122625,0.0011418125,-0.00150025,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1839582,1874304,0,0,0,0,16,8,8,1,0,1784371827.963812
sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,0.5,1784371869.165204,1784371870.602447,3,True,1784371874.739399,1784371876.4105449,1784371876.4108438,1784371878.059319,1784371877.2358878,0.23142381237499998,1784371878.0595,1784371915.389318,1784371896.744422,1784371915.389736,1784371917.023521,1784371916.2068963,0.198075992875,0.5005909501524924,0.21473019572598118,0.1957425,-0.11394875,-0.1943835625,0.0011396875,-0.0015561875,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1718563,4314659,0,0,0,0,16,8,8,1,0,1784371878.0595
formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,0.5,1784372005.847878,1784372007.2729752,4,True,1784372011.3481102,1784372013.009567,1784372013.009909,1784372014.641155,1784372013.8274517,0.232261697125,1784372014.641365,1784372051.793247,1784372033.2145994,1784372051.793515,1784372053.41969,1784372052.607222,0.19774083875,0.49992940850090595,0.21500370481664272,0.19765749999999999,0.1122298125,0.19202987500000002,-0.0008626875000000001,0.0009094375,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1678083,1737957,0,0,0,0,16,8,8,1,0,1784372014.641365
formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,0.5,1784372055.55969,1784372056.977049,5,True,1784372061.057801,1784372062.723629,1784372062.723878,1784372064.3529909,1784372063.5371957,0.189361989625,1784372064.35317,1784372101.523691,1784372082.9452868,1784372101.523984,1784372103.1578,1784372102.3387494,0.180983140625,0.5001885028940153,0.18517098568771498,0.17512812499999997,0.1064993125,0.18244862499999998,-0.0007604375,0.0007567499999999999,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1595512,1633029,0,0,0,0,16,8,8,1,0,1784372064.35317
formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,0.5,1784372166.4173188,1784372167.84597,6,True,1784372171.922786,1784372173.5921228,1784372173.592428,1784372175.2204711,1784372174.4062214,1.2680550212500001,1784372175.2206469,1784372212.359952,1784372193.7823892,1784372212.360258,1784372213.9951072,1784372213.178819,1.23604781875,0.4997387071769165,1.2520597832523002,1.2,-0.14350687499999998,-0.2460600625,0.00011775,0.000363375,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2218728,2243033,0,0,0,0,16,8,8,1,0,1784372175.2206469
formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,0.5,1784372216.134363,1784372217.559298,7,True,1784372221.634336,1784372223.300073,1784372223.300529,1784372224.939389,1784372224.1207645,1.2266635075,1784372224.939658,1784372262.361623,1784372243.6327024,1784372262.361948,1784372264.013522,1784372263.1942766,1.2167764650000001,0.49936483360025435,1.221726266167189,1.196236125,-0.14726175000000002,-0.25263625,0.00017756249999999999,0.00029512500000000003,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-2249385,2273775,0,0,0,0,16,8,8,1,0,1784372224.939658
formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,0.5,1784372284.901002,1784372286.330227,8,True,1784372290.4309819,1784372292.109403,1784372292.110514,1784372293.778065,1784372292.9451723,0.27918325212499995,1784372293.778233,1784372331.1674821,1784372312.486432,1784372331.167812,1784372332.819683,1784372331.9906728,0.24516512499999998,0.5004740496839387,0.2621580622800882,0.251062,-0.12285675,-0.20948131250000002,0.001308125,-0.0015733750000000001,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1835432,1894459,0,0,0,0,16,8,8,1,0,1784372293.778233
formal,down,78,4,1,9,5.775795667127873,5.906349143328972,0.5,1784372334.980033,1784372336.424042,9,True,1784372340.5615518,1784372342.234114,1784372342.234336,1784372343.9004369,1784372343.0688028,0.24064054612500002,1784372343.900618,1784372381.274679,1784372362.5844288,1784372381.274993,1784372382.927257,1784372382.1019273,0.2295804655,0.4999760134559198,0.23511077110561146,0.22549475000000002,-0.11753050000000001,-0.2005416875,0.0013071250000000001,-0.001594,1,acq,327680,327680,0,256,True,False,1,1200000,8381618,False,-1770562,1787499,0,0,0,0,16,8,8,1,0,1784372343.900618
