dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
0,0,pre,0,1784371612.495082,1784371612.705228,1784371612.6001549,0.221369193
1,0,pre,1,1784371612.705408,1784371612.913464,1784371612.809436,0.206622419
2,0,pre,2,1784371612.9136572,1784371613.119824,1784371613.0167406,0.213325498
3,0,pre,3,1784371613.120082,1784371613.330239,1784371613.2251606,0.238797199
4,0,pre,4,1784371613.330428,1784371613.536621,1784371613.4335246,0.244159663
5,0,pre,5,1784371613.536824,1784371613.74469,1784371613.640757,0.241478431
6,0,pre,6,1784371613.744873,1784371613.955029,1784371613.849951,0.214666114
7,0,pre,7,1784371613.955202,1784371614.161108,1784371614.058155,0.238797199
8,0,post,0,1784371651.560181,1784371651.770314,1784371651.6652474,0.25488459
9,0,post,1,1784371651.770499,1784371651.977706,1784371651.8741026,0.242819047
10,0,post,2,1784371651.977953,1784371652.188189,1784371652.083071,0.262928285
11,0,post,3,1784371652.188436,1784371652.397849,1784371652.2931426,0.269631364
12,0,post,4,1784371652.398026,1784371652.608198,1784371652.5031118,0.249522126
13,0,post,5,1784371652.6084669,1784371652.818658,1784371652.7135625,0.250862742
14,0,post,6,1784371652.818847,1784371653.02746,1784371652.9231534,0.236115968
15,0,post,7,1784371653.027725,1784371653.2330282,1784371653.1303766,0.238797199
16,1,pre,0,1784371662.657392,1784371662.860302,1784371662.758847,0.266950132
17,1,pre,1,1784371662.8604941,1784371663.062283,1784371662.9613886,0.241478431
18,1,pre,2,1784371663.062502,1784371663.268598,1784371663.16555,0.245500279
19,1,pre,3,1784371663.268766,1784371663.478913,1784371663.3738394,0.249522126
20,1,pre,4,1784371663.4790988,1784371663.681317,1784371663.5802078,0.249522126
21,1,pre,5,1784371663.681498,1784371663.8834891,1784371663.7824936,0.292421834
22,1,pre,6,1784371663.883704,1784371664.08516,1784371663.984432,0.276334443
23,1,pre,7,1784371664.085367,1784371664.285908,1784371664.1856375,0.264268901
24,1,post,0,1784371701.676904,1784371701.886549,1784371701.7817264,0.253543974
25,1,post,1,1784371701.8867352,1784371702.0885718,1784371701.9876535,0.285718754
26,1,post,2,1784371702.088782,1784371702.298958,1784371702.19387,0.28705937
27,1,post,3,1784371702.299306,1784371702.506876,1784371702.403091,0.262928285
28,1,post,4,1784371702.507044,1784371702.7072482,1784371702.6071463,0.297784297
29,1,post,5,1784371702.7074392,1784371702.915193,1784371702.811316,0.288399986
30,1,post,6,1784371702.9153721,1784371703.119002,1784371703.017187,0.281696907
31,1,post,7,1784371703.119183,1784371703.3276339,1784371703.2234085,0.262928285
32,2,pre,0,1784371826.30996,1784371826.518789,1784371826.4143744,0.264268901
33,2,pre,1,1784371826.518969,1784371826.722238,1784371826.6206036,0.288399986
34,2,pre,2,1784371826.722423,1784371826.92941,1784371826.8259165,0.265609517
35,2,pre,3,1784371826.92958,1784371827.139754,1784371827.034667,0.284378139
36,2,pre,4,1784371827.1399622,1784371827.3434172,1784371827.2416897,0.260247053
37,2,pre,5,1784371827.3435981,1784371827.552066,1784371827.447832,0.253543974
38,2,pre,6,1784371827.552363,1784371827.753362,1784371827.6528625,0.276334443
39,2,pre,7,1784371827.7535381,1784371827.9636328,1784371827.8585854,0.257565821
40,2,post,0,1784371865.3476071,1784371865.552213,1784371865.4499102,0.240137815
41,2,post,1,1784371865.5524218,1784371865.7603798,1784371865.6564007,0.21600673
42,2,post,2,1784371865.760745,1784371865.968411,1784371865.864578,0.233434736
43,2,post,3,1784371865.968599,1784371866.178755,1784371866.073677,0.217347346
44,2,post,4,1784371866.1789298,1784371866.381562,1784371866.2802458,0.236115968
45,2,post,5,1784371866.38174,1784371866.585689,1784371866.4837146,0.214666114
46,2,post,6,1784371866.585942,1784371866.796098,1784371866.69102,0.21600673
47,2,post,7,1784371866.79631,1784371867.006539,1784371866.9014244,0.211984882
48,3,pre,0,1784371876.4108438,1784371876.620984,1784371876.515914,0.25488459
49,3,pre,1,1784371876.621166,1784371876.8216052,1784371876.7213855,0.224050425
50,3,pre,2,1784371876.8218071,1784371877.0273879,1784371876.9245975,0.226731657
51,3,pre,3,1784371877.027628,1784371877.237781,1784371877.1327045,0.249522126
52,3,pre,4,1784371877.238028,1784371877.44032,1784371877.339174,0.225391041
53,3,pre,5,1784371877.440511,1784371877.650631,1784371877.5455709,0.214666114
54,3,pre,6,1784371877.6509151,1784371877.852549,1784371877.751732,0.218687962
55,3,pre,7,1784371877.8527281,1784371878.059319,1784371877.9560237,0.237456584
56,3,post,0,1784371915.389736,1784371915.594872,1784371915.4923038,0.21600673
57,3,post,1,1784371915.595071,1784371915.79674,1784371915.6959057,0.17712887
58,3,post,2,1784371915.796994,1784371916.002114,1784371915.899554,0.206622419
59,3,post,3,1784371916.002327,1784371916.207455,1784371916.1048908,0.210644266
60,3,post,4,1784371916.207642,1784371916.41051,1784371916.309076,0.162382096
61,3,post,5,1784371916.410731,1784371916.615839,1784371916.5132852,0.187853797
62,3,post,6,1784371916.61603,1784371916.820294,1784371916.718162,0.228072273
63,3,post,7,1784371916.8204632,1784371917.023521,1784371916.921992,0.195897492
64,4,pre,0,1784372013.009909,1784372013.2150872,1784372013.112498,0.236115968
65,4,pre,1,1784372013.215293,1784372013.4204428,1784372013.3178678,0.249522126
66,4,pre,2,1784372013.4206452,1784372013.6231601,1784372013.5219026,0.213325498
67,4,pre,3,1784372013.623339,1784372013.82771,1784372013.7255244,0.234775352
68,4,pre,4,1784372013.827903,1784372014.033031,1784372013.9304671,0.234775352
69,4,pre,5,1784372014.033228,1784372014.2342741,1784372014.133751,0.230753504
70,4,pre,6,1784372014.234522,1784372014.439677,1784372014.3370996,0.218687962
71,4,pre,7,1784372014.439855,1784372014.641155,1784372014.540505,0.240137815
72,4,post,0,1784372051.793515,1784372051.9977012,1784372051.895608,0.191875644
73,4,post,1,1784372051.997877,1784372052.201074,1784372052.0994754,0.202600571
74,4,post,2,1784372052.2012851,1784372052.402244,1784372052.3017645,0.17712887
75,4,post,3,1784372052.4024398,1784372052.607552,1784372052.5049958,0.218687962
76,4,post,4,1784372052.607946,1784372052.809438,1784372052.708692,0.187853797
77,4,post,5,1784372052.809697,1784372053.014834,1784372052.9122653,0.175788254
78,4,post,6,1784372053.015022,1784372053.217519,1784372053.1162705,0.195897492
79,4,post,7,1784372053.217719,1784372053.41969,1784372053.3187046,0.23209412
80,5,pre,0,1784372062.723878,1784372062.924635,1784372062.8242564,0.198578724
81,5,pre,1,1784372062.924816,1784372063.129932,1784372063.0273738,0.207963035
82,5,pre,2,1784372063.1301131,1784372063.335257,1784372063.232685,0.173107022
83,5,pre,3,1784372063.335433,1784372063.5372312,1784372063.4363322,0.173107022
84,5,pre,4,1784372063.5374138,1784372063.741475,1784372063.6394444,0.187853797
85,5,pre,5,1784372063.741655,1784372063.942245,1784372063.84195,0.186513181
86,5,pre,6,1784372063.9424949,1784372064.14769,1784372064.0450926,0.211984882
87,5,pre,7,1784372064.147874,1784372064.3529909,1784372064.2504325,0.175788254
88,5,post,0,1784372101.523984,1784372101.72529,1784372101.6246371,0.169085175
89,5,post,1,1784372101.725475,1784372101.9307141,1784372101.8280945,0.175788254
90,5,post,2,1784372101.930878,1784372102.13241,1784372102.0316439,0.203941187
91,5,post,3,1784372102.132597,1784372102.337719,1784372102.235158,0.187853797
92,5,post,4,1784372102.337893,1784372102.542209,1784372102.440051,0.190535029
93,5,post,5,1784372102.54244,1784372102.747612,1784372102.645026,0.157019632
94,5,post,6,1784372102.747842,1784372102.952469,1784372102.8501556,0.183831949
95,5,post,7,1784372102.952658,1784372103.1578,1784372103.055229,0.179810102
96,6,pre,0,1784372173.592428,1784372173.79758,1784372173.695004,1.27643387
97,6,pre,1,1784372173.79776,1784372174.000284,1784372173.899022,1.26973079
98,6,pre,2,1784372174.000643,1784372174.203645,1784372174.102144,1.25632463
99,6,pre,3,1784372174.2038422,1784372174.407451,1784372174.3056464,1.25498402
100,6,pre,4,1784372174.407713,1784372174.608683,1784372174.508198,1.26302771
101,6,pre,5,1784372174.608908,1784372174.809747,1784372174.7093275,1.26839018
102,6,pre,6,1784372174.809943,1784372175.0150988,1784372174.912521,1.27241202
103,6,pre,7,1784372175.015348,1784372175.2204711,1784372175.1179094,1.28313695
104,6,post,0,1784372212.360258,1784372212.563615,1784372212.4619365,1.22146862
105,6,post,1,1784372212.563807,1784372212.7690082,1784372212.6664076,1.24425909
106,6,post,2,1784372212.7692091,1784372212.9743428,1784372212.871776,1.23889663
107,6,post,3,1784372212.9745128,1784372213.1796422,1784372213.0770774,1.2281717
108,6,post,4,1784372213.179869,1784372213.383979,1784372213.281924,1.24157786
109,6,post,5,1784372213.384159,1784372213.5892951,1784372213.4867272,1.24425909
110,6,post,6,1784372213.5895019,1784372213.792325,1784372213.6909134,1.23085293
111,6,post,7,1784372213.79247,1784372213.9951072,1784372213.8937886,1.23889663
112,7,pre,0,1784372223.300529,1784372223.505677,1784372223.4031029,1.23353417
113,7,pre,1,1784372223.505858,1784372223.7109811,1784372223.6084194,1.21208431
114,7,pre,2,1784372223.711179,1784372223.916308,1784372223.8137436,1.23755601
115,7,pre,3,1784372223.9164858,1784372224.1216068,1784372224.0190463,1.23755601
116,7,pre,4,1784372224.121791,1784372224.325724,1784372224.2237573,1.20806246
117,7,pre,5,1784372224.3259351,1784372224.53113,1784372224.4285326,1.24828094
118,7,pre,6,1784372224.53132,1784372224.734051,1784372224.6326857,1.2281717
119,7,pre,7,1784372224.734266,1784372224.939389,1784372224.8368275,1.20806246
120,7,post,0,1784372262.361948,1784372262.57207,1784372262.467009,1.21342493
121,7,post,1,1784372262.5730932,1784372262.7801442,1784372262.6766186,1.20806246
122,7,post,2,1784372262.7803168,1784372262.990428,1784372262.8853724,1.23487478
123,7,post,3,1784372262.990595,1784372263.200737,1784372263.095666,1.19867815
124,7,post,4,1784372263.201117,1784372263.401556,1784372263.3013365,1.22414985
125,7,post,5,1784372263.401765,1784372263.6091242,1784372263.5054445,1.21476554
126,7,post,6,1784372263.6093829,1784372263.811161,1784372263.7102718,1.22549047
127,7,post,7,1784372263.811466,1784372264.013522,1784372263.912494,1.21476554
128,8,pre,0,1784372292.110514,1784372292.320631,1784372292.2155724,0.295103065
129,8,pre,1,1784372292.320815,1784372292.528946,1784372292.4248805,0.288399986
130,8,pre,2,1784372292.529119,1784372292.734182,1784372292.6316504,0.273653212
131,8,pre,3,1784372292.734443,1784372292.944588,1784372292.8395154,0.27097198
132,8,pre,4,1784372292.9448938,1784372293.155041,1784372293.0499673,0.273653212
133,8,pre,5,1784372293.1551921,1784372293.365315,1784372293.2602534,0.291081218
134,8,pre,6,1784372293.3654678,1784372293.567657,1784372293.4665623,0.273653212
135,8,pre,7,1784372293.56789,1784372293.778065,1784372293.6729774,0.266950132
136,8,post,0,1784372331.167812,1784372331.368175,1784372331.2679935,0.222709809
137,8,post,1,1784372331.368361,1784372331.578488,1784372331.4734244,0.265609517
138,8,post,2,1784372331.578666,1784372331.7821178,1784372331.6803918,0.264268901
139,8,post,3,1784372331.782364,1784372331.992546,1784372331.887455,0.253543974
140,8,post,4,1784372331.992831,1784372332.194931,1784372332.0938811,0.262928285
141,8,post,5,1784372332.195155,1784372332.405316,1784372332.3002355,0.246840895
142,8,post,6,1784372332.405513,1784372332.6092942,1784372332.5074036,0.228072273
143,8,post,7,1784372332.6095119,1784372332.819683,1784372332.7145975,0.217347346
144,9,pre,0,1784372342.234336,1784372342.441761,1784372342.3380485,0.262928285
145,9,pre,1,1784372342.441949,1784372342.651896,1784372342.5469224,0.252203358
146,9,pre,2,1784372342.652074,1784372342.862217,1784372342.7571454,0.236115968
147,9,pre,3,1784372342.862387,1784372343.067468,1784372342.9649274,0.222709809
148,9,pre,4,1784372343.067731,1784372343.27762,1784372343.1726756,0.23209412
149,9,pre,5,1784372343.2778208,1784372343.485527,1784372343.3816738,0.211984882
150,9,pre,6,1784372343.4857469,1784372343.695849,1784372343.590798,0.257565821
151,9,pre,7,1784372343.6960251,1784372343.9004369,1784372343.7982311,0.249522126
152,9,post,0,1784372381.274993,1784372381.485037,1784372381.380015,0.236115968
153,9,post,1,1784372381.4852219,1784372381.690829,1784372381.5880256,0.220028577
154,9,post,2,1784372381.691106,1784372381.891839,1784372381.7914724,0.226731657
155,9,post,3,1784372381.892098,1784372382.102315,1784372381.9972064,0.234775352
156,9,post,4,1784372382.102509,1784372382.3103511,1784372382.20643,0.217347346
157,9,post,5,1784372382.3105721,1784372382.516316,1784372382.413444,0.260247053
158,9,post,6,1784372382.516502,1784372382.7168388,1784372382.6166704,0.233434736
159,9,post,7,1784372382.717052,1784372382.927257,1784372382.8221545,0.207963035
160,10,pre,0,1784372497.258811,1784372497.462372,1784372497.3605914,0.0886482235
161,10,pre,1,1784372497.4625568,1784372497.672689,1784372497.567623,0.110098077
162,10,pre,2,1784372497.672878,1784372497.877766,1784372497.775322,0.10607623
163,10,pre,3,1784372497.877961,1784372498.08625,1784372497.9821055,0.0913294552
164,10,pre,4,1784372498.086424,1784372498.295739,1784372498.1910815,0.0926700711
165,10,pre,5,1784372498.295944,1784372498.4984698,1784372498.3972068,0.0886482235
166,10,pre,6,1784372498.498666,1784372498.708815,1784372498.6037407,0.0980325345
167,10,pre,7,1784372498.709007,1784372498.912408,1784372498.8107076,0.0993731504
168,10,post,0,1784372536.190794,1784372536.396018,1784372536.293406,0.107416846
169,10,post,1,1784372536.397053,1784372536.59883,1784372536.4979415,0.110098077
170,10,post,2,1784372536.5990222,1784372536.79953,1784372536.699276,0.118141772
171,10,post,3,1784372536.7997189,1784372537.004879,1784372536.902299,0.126185468
172,10,post,4,1784372537.005058,1784372537.207159,1784372537.1061087,0.139591626
173,10,post,5,1784372537.207416,1784372537.412559,1784372537.3099875,0.120823004
174,10,post,6,1784372537.4128158,1784372537.614007,1784372537.5134115,0.114119925
175,10,post,7,1784372537.6141891,1784372537.8193212,1784372537.7167552,0.112779309
176,11,pre,0,1784372547.123472,1784372547.328646,1784372547.226059,0.10607623
177,11,pre,1,1784372547.3288572,1784372547.5321941,1784372547.4305258,0.115460541
178,11,pre,2,1784372547.53246,1784372547.73761,1784372547.635035,0.134229163
179,11,pre,3,1784372547.737822,1784372547.940584,1784372547.839203,0.114119925
180,11,pre,4,1784372547.9409652,1784372548.146102,1784372548.0435336,0.128866699
181,11,pre,5,1784372548.146293,1784372548.3514519,1784372548.2488723,0.128866699
182,11,pre,6,1784372548.3517172,1784372548.555686,1784372548.4537015,0.114119925
183,11,pre,7,1784372548.555878,1784372548.757182,1784372548.65653,0.127526083
184,11,post,0,1784372585.904293,1784372586.1073432,1784372586.0058181,0.114119925
185,11,post,1,1784372586.107532,1784372586.312691,1784372586.2101116,0.123504236
186,11,post,2,1784372586.3130949,1784372586.518226,1784372586.4156604,0.165063327
187,11,post,3,1784372586.5184388,1784372586.722731,1784372586.620585,0.139591626
188,11,post,4,1784372586.722922,1784372586.923666,1784372586.8232942,0.155679016
